DAPK1,387,642,333,746,154,327,271,269,1392,318,555,424,1615,385,254,511,742,1542,332,245,860,289,225,284,12,54,70,43,5,27,15,44,10,408,2,7,34,20,7,15,13,9,45,42,1673,12,26,19,124,662,5,51,4,68,12,21,41,15,11,50,11,86,39,11,68,10,16,130,32,15,25,35,36,71,27,15,107,28,33,152,308,54,6612,31,18,77,54,44,4,0
ZFP36L2,1994,3252,1848,3396,1872,2798,2407,2210,2181,2029,2941,1989,3009,2231,2085,2402,2640,3286,1501,2122,3410,2265,1684,3050,369,1802,1556,3281,674,787,259,468,1704,2234,2345,526,1212,907,2229,1214,862,683,1105,1114,420,1119,2343,379,1173,1456,2746,1588,831,1777,1003,534,1366,255,1928,1471,170,1464,1574,846,4548,203,1537,2086,1922,735,1618,1179,1176,2775,914,488,1428,664,732,436,2396,1536,3638,669,856,1240,2039,1914,1237,0
TLR8,25456,21917,17829,17830,21874,25984,19728,43414,9039,20643,29186,20845,5241,18719,28509,29665,16670,11828,26811,24124,22644,25379,42221,37006,16486,64919,15069,29579,8252,12073,39699,35626,96300,63557,62272,18869,42727,30923,56531,69323,50223,14831,22517,35824,41127,65217,76885,32832,75933,27321,21825,133868,17408,127653,21485,534,79378,26614,41200,20391,10800,47225,21129,15017,53668,14845,69387,40876,301233,20530,53694,55602,21439,33024,37225,27606,33593,34528,18327,7863,64476,38843,4032,36190,38050,30597,15072,60391,24812,1
RHOB,2673,2682,3007,6955,3646,5360,7260,1414,5297,2321,3118,1490,5290,3664,1892,1488,5975,15808,2006,6254,9779,4775,1130,2123,881,5175,1205,2712,1724,1035,1214,808,2578,2556,2099,811,1763,2289,2985,1695,3068,803,684,1574,3887,1388,1283,847,869,2952,1676,1903,1523,1661,873,4948,1251,550,912,508,2160,1035,1663,978,1097,652,597,1458,1887,1298,1465,1380,804,2405,1287,1613,1219,1700,1269,875,2823,1237,7261,1187,551,1125,423,1925,864,0
USP13,531,726,188,111,2219,288,12708,1178,2233,297,3311,982,195,286,202,2147,302,346,270,98,2248,1749,904,22,273,60,13,185,3,0,7,4,0,7,6,0,17,1176,32,7,1,1,21,6,634,104,6,2,7,16,1,0,18,155,4,48,4,1,6,14,4,8,11,9,5,5,1,151,4,0,31,6,1,11,607,3,361,50,1,5,77,88,255,102,0,135,0,103,0,0
NCOR2,853,1201,952,1345,703,1379,909,1137,689,1162,1352,1050,977,1503,865,1123,902,1591,927,860,1000,499,1121,1647,257,755,878,652,398,891,255,288,513,884,605,166,671,418,836,474,417,336,541,452,674,429,646,364,645,606,766,709,432,499,390,547,527,253,517,956,238,784,534,386,1064,283,499,625,576,292,554,324,502,1296,489,500,527,338,484,335,1220,637,1071,297,492,957,1342,618,462,0
USP9X,1615,2634,1302,2476,1827,1981,3134,1954,2886,662,2193,2130,3733,1966,2049,2234,1617,1779,1904,1621,1833,1470,1308,2189,4914,3564,1853,3830,5786,2259,1688,2021,2188,2968,3851,1600,1961,3058,3031,2036,3215,1788,3932,2511,2730,2462,2186,3075,3781,3053,1849,1519,4148,2409,2404,4285,1052,3374,2425,2321,1607,2097,3105,1644,4333,3282,2111,2330,2188,3609,2405,1196,1499,2361,1786,5663,1959,3386,6041,5164,2315,1811,3245,2503,1340,2539,1960,3420,2827,1
CSMD1,5935,3144,4365,3219,1193,3478,1709,10302,3127,3130,10245,4413,1876,3071,2995,6681,2841,4618,5866,2177,3327,1842,8931,4258,2194,1548,4194,1483,2481,1844,573,1491,3071,8686,1257,267,2173,2233,3126,880,1142,1060,851,1536,1053,1143,1718,445,2416,3176,3639,1559,2795,2358,1658,2755,4261,1913,1534,3767,298,3128,2659,2139,2279,480,899,4147,1346,1405,1788,1748,1708,1599,763,1282,1913,1910,1618,918,1632,1656,2481,1758,831,3349,4650,2678,1766,0
GABRA4,557,698,557,712,457,678,675,650,788,661,682,790,796,536,567,774,496,767,561,448,639,662,669,715,265,567,451,551,379,248,155,223,492,442,628,121,252,191,439,232,450,221,339,362,247,285,439,196,471,504,450,370,264,434,299,371,205,211,506,351,103,373,270,258,723,114,454,475,392,311,410,245,323,592,252,444,387,424,270,292,615,377,564,243,353,470,414,390,356,0
NAGPA,1039,1289,858,1764,829,1515,1178,968,987,920,1265,979,1220,1017,760,926,1414,2248,1275,1644,1413,1300,826,1496,1506,3762,765,2086,2497,704,693,2295,1716,3781,2278,1176,960,1706,1602,1276,2135,572,2439,1878,940,1088,2920,879,3139,1745,1453,1118,2293,2311,1487,569,2571,1178,1792,1220,1020,1396,1719,1544,1621,1318,1850,2309,1453,1859,2711,1971,2093,1159,994,2637,1083,3220,4311,3750,1111,2910,798,1685,866,871,849,1982,2697,1
TUBG2,1117,940,575,1209,761,1173,797,992,627,1219,752,890,614,964,840,1070,927,1524,899,971,1073,1168,1041,1115,257,522,398,578,525,703,547,412,825,454,804,275,615,259,620,276,761,160,277,958,440,431,744,505,326,685,570,464,591,790,597,921,358,252,966,490,354,482,342,489,1088,299,744,546,537,598,962,555,604,1091,275,686,589,597,454,286,507,521,915,375,250,191,438,503,379,0
RRM2,9857,13085,5196,11542,5756,8139,13343,12918,11460,1865,14157,9558,5330,7188,13196,16533,8549,5451,8755,8162,7288,3482,8619,9970,10519,21085,12491,9278,12800,11930,4352,11581,11595,9933,17083,7082,5895,6383,7064,10049,12102,8638,11428,9456,11894,6093,7735,13727,15880,13392,9317,6686,11107,11185,8984,6065,15253,10599,8435,37886,4984,18902,8273,8534,15979,8687,10347,9579,8298,12679,11953,16357,11925,10392,20394,14289,6445,13305,17973,11929,11234,9233,8362,10144,7207,13276,14677,10512,10225,1
CTCF,1563,2318,1875,2750,2286,2052,1428,1454,1460,3184,2104,1519,2893,3137,1365,1341,2577,5618,856,1513,5886,4412,1680,2652,463,1775,573,3619,2562,249,786,798,751,2057,3830,1032,1689,897,1707,631,923,1776,1380,1889,484,1161,1475,572,1488,3077,3763,1897,1994,2407,2173,116,1123,421,2063,710,496,1542,2091,1870,1637,501,2531,2298,2238,1044,1408,1099,2227,1024,740,947,1218,796,1145,728,755,2106,230,1514,1385,944,988,1785,3484,0
EEF1A2,4863,7744,5347,10915,7061,9797,10697,6155,5899,6149,6903,5401,3492,7473,6998,7151,7001,6256,3829,7491,9358,3847,4744,12384,630,3005,8983,3022,1444,6671,1182,1499,3791,4618,2455,939,1987,1888,4197,2957,2870,2777,1776,1928,1059,2976,3748,1056,1859,1423,5205,3141,1263,4386,1768,529,4050,559,3982,9455,726,3077,2256,1917,3162,526,3448,4383,4527,947,4142,2583,2939,8136,2667,879,2781,1168,852,963,7044,2957,5530,1602,1800,2381,12624,2445,2094,0
SMARCA2,8875,7413,6061,7342,7590,9206,8174,8165,7098,10289,8319,7233,4988,7999,7344,10171,5515,6741,5688,8009,7701,9205,11878,11824,1576,2738,9893,3560,2219,6066,1126,1271,1589,4602,3300,1396,2485,2355,2257,2764,1710,2224,2280,1927,2045,1827,2180,2874,2855,2347,2860,3138,2276,2806,1794,1307,2711,1075,2125,12134,623,3612,2164,2066,1855,1333,1421,3008,3481,2302,2726,1960,3655,6106,8248,1253,3202,2295,1251,1717,2477,2418,2669,1385,1219,3596,10664,3766,2945,0
SPATA9,2481,2876,1954,5671,4470,5080,4251,2947,2957,4634,2650,2927,2089,4498,2054,2658,4520,3116,2305,5151,4284,5881,3645,5082,1196,1006,2512,914,1448,3189,1675,828,206,1991,651,738,1057,1708,851,863,669,769,926,1342,1257,1089,862,1688,2791,740,761,1197,946,1057,706,970,1655,1461,1355,6207,590,799,744,928,2081,1012,524,1009,1225,875,1101,1155,1165,1031,2454,1359,1767,1849,456,1601,2569,1856,3197,1296,641,2080,2177,1193,1268,0
BNIP3L,7598,5852,2842,6313,3495,2242,1276,2758,8831,4231,9415,2813,15101,3615,1325,2687,3796,11984,1413,1392,10535,7956,3906,2479,32,46,535,1130,17,219,74,285,1429,8,4303,0,255,1990,299,1629,160,1771,204,96,27,110,86,203,223,43,1799,717,838,330,1003,305,36,158,390,359,11,861,219,162,630,47,196,255,2675,71,89,407,99,419,12225,115,61,29,40,77,658,87,6637,124,83,269,403,263,62,0
GABRP,9107,4999,3293,4753,9765,3098,13957,4813,18421,4159,7598,6467,15101,4588,7673,10490,4354,5871,5036,3237,5684,6563,7828,2846,5065,4029,5061,4170,4488,2897,3022,2454,1883,1844,6469,1139,2949,6275,3275,2886,3806,2393,4476,2790,2930,2762,2685,2075,4365,3637,1613,2606,2668,4628,2582,16118,5272,2387,2246,3061,3441,4839,3390,4044,3156,2747,2761,3584,3366,3040,3602,3342,2839,6938,2002,3296,2716,2667,3755,3014,8467,2565,17099,4600,1578,3196,4249,3864,4349,0
CWF19L2,7872,13328,8506,13852,11472,14121,10911,11436,7721,8510,10512,8839,6521,13296,9790,9215,9882,8188,8347,10599,11126,7955,9347,19926,3533,8285,14042,5778,5481,10188,2161,4605,6200,5322,7709,1811,3835,3769,4423,7388,6181,2931,4202,3442,7715,3799,6142,5427,5563,7418,8503,4042,3262,6245,3586,3302,6762,2665,4964,16252,1236,10472,3296,2694,8930,3009,5211,5143,4508,2977,6168,4513,3643,8819,16711,6082,3899,3487,5748,3464,6422,4031,5138,3506,4960,9939,14722,6809,3544,0
PLAUR,2512,2178,1459,2836,3982,2812,2215,1807,1837,3412,1348,1477,2343,2767,2762,1255,2046,2798,1941,3985,3259,6689,1824,2319,3544,2816,13073,9170,1641,9789,2063,5773,5186,7074,5078,772,4756,3320,4228,4537,4819,1303,6431,2711,5087,2657,5514,2098,1754,4655,3726,3542,2293,1952,3124,3326,4737,1931,1592,2919,1927,2906,3342,2032,8614,1689,2566,5411,2669,1700,3182,2921,2243,1417,1986,2974,4036,2541,19635,2608,3875,5748,3001,3178,1775,1872,11944,5430,1997,1
ADAL,2681,2947,1783,2887,3024,3049,4274,2967,3561,2496,2591,2679,2704,2718,2352,2784,2939,2976,2982,3510,3089,3899,2582,2878,3319,3293,2242,4008,4781,3061,4777,4457,4426,5093,4298,1736,4145,3536,4222,1061,4194,3872,2125,5109,5697,4066,4131,2832,3673,4114,3437,3376,5518,5309,3878,5463,4985,2934,5275,3035,3168,2525,4494,4013,4521,4097,3577,3911,4021,3291,4704,4257,3576,3312,1521,5345,4549,5799,2756,4631,3404,5747,4207,4756,2401,3098,2303,2738,3809,1
MLXIPL,2576,1565,694,1260,7037,923,5293,1125,2652,1105,1517,1309,3934,1426,2171,1849,1298,1138,2678,2258,3810,8074,1398,953,343,492,2616,521,227,430,154,226,707,314,317,104,318,752,385,609,364,257,778,436,331,272,259,289,564,425,225,241,696,432,190,1283,263,800,308,558,278,288,459,284,1130,202,185,420,254,176,234,452,221,643,202,590,262,231,641,271,1014,324,1506,284,215,740,410,403,236,0
DPF1,210,193,184,263,272,220,220,171,289,385,221,226,263,223,197,253,148,238,217,290,279,210,224,210,612,552,334,1220,706,272,572,841,1382,2657,1858,480,800,604,1288,1238,2009,338,304,1094,917,605,1408,756,493,456,946,943,1572,624,779,510,736,178,1476,177,479,1459,675,942,4409,483,1446,1198,1436,1251,1306,806,1671,619,1498,820,1641,501,764,372,576,1709,989,1272,559,383,296,1333,801,1
NETO2,3834,2582,2063,1301,1896,1565,1166,2445,525,2084,2571,1850,662,1362,5184,3159,1228,2153,2268,1091,1444,1343,4206,2215,156,1797,898,158,159,907,177,162,1003,265,659,87,181,207,175,1157,675,152,759,167,146,148,295,716,677,699,623,182,100,295,308,115,488,300,742,1121,70,2112,265,189,244,328,356,341,556,166,280,438,243,426,1191,625,303,75,444,234,1097,236,39,84,1751,1285,802,481,367,0
SLC39A8,3320,4050,2168,4436,5577,2932,5940,3587,4844,1598,3705,3779,5058,2958,3866,4609,2841,3475,2786,2428,4627,3527,2516,3271,4119,10322,3654,10936,8536,2421,1841,1847,4012,5056,10367,2164,4228,2881,4601,4803,5403,4867,6821,4704,2750,2342,6806,1594,5777,5330,9308,2788,6222,7304,5850,875,3002,1820,5274,5607,730,3295,6456,3609,5785,1835,5396,6949,5849,3046,3862,3162,4253,3701,2806,4997,4715,2895,5252,5060,4204,5812,2446,4199,3597,6575,4749,8049,4221,1
E2F3,1314,2019,1128,1953,861,1793,1711,1530,1569,1315,1738,1358,1469,1574,1289,1319,1223,2390,1115,1565,1900,1802,1127,2001,345,853,1539,472,331,1039,171,341,982,1096,646,244,501,387,992,686,376,363,547,657,805,475,993,628,647,859,500,581,481,710,417,1214,920,381,644,1677,146,1207,585,390,3955,197,620,634,741,607,810,552,674,1763,1747,456,662,374,462,264,1337,569,4519,291,502,1373,1811,811,440,0
PEX5L,1840,3086,1755,4657,2059,3817,3197,2450,2813,1277,2813,1953,3240,2717,1960,2422,3644,3135,1908,3605,3629,2126,1774,3937,3744,4887,2078,5328,8490,1662,1402,4683,2441,5808,2800,1278,3475,3275,3551,3313,4256,3434,5085,4009,5865,2622,3734,2017,4711,5280,4122,2300,3041,5456,3563,2942,2057,3257,3446,2230,1514,1950,4835,3273,5632,2111,3859,4715,3770,1441,3510,3809,2994,3330,1399,6790,5464,5249,6968,5658,2304,5393,3112,4948,2143,2565,2263,1390,3307,1
CLDN20,1755,2179,1390,2531,1519,1864,2149,1505,1604,1393,1956,1666,2952,1689,1505,1521,1884,2506,1486,1661,2514,2102,1206,2128,559,1105,1121,1008,946,1093,376,662,739,1339,961,278,830,701,925,628,793,834,972,967,736,886,968,728,808,1223,933,920,714,1224,854,2039,944,555,882,2223,276,984,1045,822,1130,310,692,874,1163,497,866,756,1231,1968,665,704,1010,644,763,898,1284,1273,5408,989,951,1093,1372,809,1043,0
MPHOSPH8,445,549,404,645,249,585,516,383,557,496,612,436,720,665,424,436,524,735,464,580,613,399,329,683,170,230,659,257,198,471,131,168,265,486,135,90,382,358,336,170,192,253,311,275,221,179,268,182,392,232,276,275,154,248,212,512,216,164,235,862,252,185,337,219,705,166,209,249,316,196,207,131,249,506,359,228,342,138,175,243,447,253,1093,184,405,297,720,301,217,0
PANK1,5494,6217,5153,7814,5894,7054,7664,5779,5937,5655,7261,5377,6442,4442,5141,7254,6474,9751,4532,6572,8291,6813,4879,8076,1533,4734,5448,4463,2141,2638,1128,1229,5078,5668,3733,1251,2976,1876,4670,3147,2223,2131,2191,2327,1910,2238,4271,2223,3248,3466,4566,3291,2044,3812,2704,1601,3626,1030,3671,4016,521,6585,2976,2334,3676,870,3557,4652,4444,2138,4237,2803,3637,6289,4620,1770,2858,1604,2379,1711,4718,4490,5364,1811,2496,2651,6586,3367,2577,0
GRB7,5640,3754,2981,4872,4258,3590,5359,3608,4387,4106,4119,4038,12136,5091,3892,3735,5075,4911,5072,3660,5488,4966,4088,4813,1536,1408,3066,638,870,4079,827,1245,965,862,703,466,992,1399,775,1253,1037,1588,1891,1224,2563,1010,794,1133,1432,1220,973,976,797,1435,905,3375,1707,2171,992,6387,891,1552,1195,1754,1848,761,541,1243,952,1361,933,1091,725,3051,1100,2323,862,1387,2227,1309,2554,1524,6821,809,645,1231,4368,1092,677,0
RGN,4524,4912,2447,5844,3037,4468,6197,4863,6275,1669,5110,4442,5249,3843,3787,5520,5073,5022,3708,5191,4756,2817,3342,5160,4840,8861,4091,7034,6472,3542,5053,5329,4933,8577,9217,3259,5255,4652,6595,3022,5662,3846,4487,9672,5492,5561,5327,4306,6196,6413,4777,6820,8215,7284,4444,6604,5627,3259,7197,7059,3919,4435,6427,8194,4949,4454,4751,6412,6795,6431,6736,4396,6948,5683,3074,7713,6223,6620,5759,6787,3747,8354,5998,6575,3548,4766,6566,5473,6277,1
PPFIA1,3153,4237,2645,5511,3554,4910,3929,3319,3278,4417,4193,3001,3211,3582,2993,3710,4220,4696,2363,3754,5131,3389,3359,6525,3382,10844,4477,7615,5424,3361,2041,5647,6638,7868,8231,3082,4743,3434,7251,6433,5980,1708,4598,4432,6922,3382,7016,2501,7112,6242,9365,5828,3941,7707,5506,919,6520,4178,5375,5262,1077,9952,4592,3463,8056,2486,7529,6994,6393,4652,7257,5938,7583,5196,3986,5294,10185,4218,4582,3460,5942,6449,3114,4021,4422,3899,5662,7751,4327,1
GABRA2,1467,1688,1325,1843,1195,1841,1323,1450,1033,2616,1501,1605,1770,1802,1363,1519,1322,1968,1498,1420,1698,1472,1665,2196,645,1510,1436,944,653,988,483,686,981,1783,827,463,732,792,1133,1084,701,537,692,722,993,676,1264,1025,1005,1712,1266,1383,564,1091,722,1533,913,573,908,1812,335,2213,693,673,934,427,1043,1007,1031,631,973,775,836,1867,968,810,785,718,951,638,1640,903,1753,420,1360,998,1649,1180,694,0
FLRT2,1593,2474,1360,1751,1991,1253,2317,2205,1399,681,2272,2049,3383,1455,2139,2481,1504,1189,1724,1634,2009,1070,1227,2179,634,192,101,891,654,183,688,641,1356,2392,86,33,1495,217,2027,311,1192,1164,626,1008,2853,988,1604,489,304,1815,1101,1627,1070,944,793,562,548,183,1193,79,429,1353,1217,838,1333,86,786,1548,1339,219,1143,555,1270,709,101,895,1618,251,1255,105,1528,1411,281,804,827,1191,278,368,281,0
FZD1,1642,1928,1375,2523,1280,2367,1926,1725,1887,1696,2029,1542,1613,1469,1393,2076,1838,2222,1651,2345,1860,1456,1661,2563,2396,1791,1571,1293,1038,1174,1542,2104,2836,4204,1500,713,2070,1471,3517,1147,2566,1809,1490,2827,2343,1697,2103,1402,2795,3306,3372,1858,2237,3191,1907,2482,2639,1629,3024,1800,1342,2097,2869,2133,1706,761,2603,2555,2649,1311,2720,2702,2748,2100,1903,2973,2791,1844,2900,1193,1878,3187,3734,3215,1716,1184,1584,1219,1904,1
DCAF17,1065,1754,1075,1502,739,1353,1045,1151,1462,1422,1592,1132,1830,1255,1033,1281,937,1875,996,819,1582,909,1260,1509,1046,2348,1444,1768,1823,880,669,1336,1403,3107,1030,714,1117,932,2179,1377,1804,934,1449,1572,1133,983,1650,811,1647,1184,1922,1878,1357,1657,1536,1412,993,850,1916,1355,393,1602,1485,1549,3376,455,1729,2200,1669,673,1944,1422,1805,1678,1302,1890,2558,1067,1520,1352,1952,1977,4146,1298,1483,2196,1604,991,1726,1
MAPK7,89,154,120,146,276,182,368,125,281,87,137,134,89,103,222,54,230,152,270,199,260,225,104,325,6655,6544,635,7725,7064,883,3795,3780,2680,4623,6897,4291,3257,5694,4678,2332,16616,5405,5662,6329,2117,3799,3452,1534,7345,5892,3046,3141,6105,5313,4870,20,2711,5233,3849,684,2413,1722,7437,3984,3741,4248,5704,5562,3999,5526,6572,6025,4644,927,920,9075,3590,6950,4007,5837,2692,4766,37,7409,1316,3896,781,3079,5332,1
PAX8,895,1212,816,1402,628,1192,1037,914,1239,1000,1300,1060,1554,1025,1095,1111,941,1695,882,989,1606,731,698,1197,240,905,1012,486,228,457,261,234,542,1149,517,224,497,344,584,178,314,284,553,567,966,352,937,181,717,989,886,714,375,647,535,812,504,187,702,548,353,515,598,243,2123,407,474,691,844,177,644,650,653,1310,323,265,657,496,381,362,847,767,962,271,526,654,1003,676,404,0
GFM1,2543,3322,4142,1976,2494,325,4999,617,3364,523,1116,1925,15671,2100,2297,1084,2672,4802,3663,471,2313,1941,1880,335,320,241,601,874,404,53,344,3178,191,137,182,337,212,2439,155,88,74,198,770,300,230,230,365,193,359,64,61,23,250,264,469,112,114,640,107,90,81,421,499,293,1177,578,60,268,83,420,163,482,333,679,316,254,188,72,445,1767,1463,675,717,234,202,738,206,812,84,0
BTAF1,2092,2019,1237,2441,1437,2370,1907,1817,1524,1316,1980,1816,970,1839,1269,2035,1764,1696,2027,1830,1447,1505,2470,2766,974,1228,961,1008,1677,1322,504,1113,1130,1333,1276,962,684,737,939,898,989,617,1188,1005,1173,872,1142,701,1651,1057,962,709,1109,1068,1038,50,1061,773,1034,1274,391,883,1030,665,2659,841,851,1012,1001,1091,1055,996,873,836,1961,1498,797,1129,1375,1559,486,1056,149,1005,691,857,1312,976,1124,0
ACOT1,941,1539,1115,2603,1024,1831,1031,1196,1311,1140,1822,703,2590,1473,844,1130,1591,2539,735,1450,2328,1277,731,1904,26,1203,347,122,30,176,173,657,2731,55,852,448,211,114,784,68,505,150,55,636,260,403,3421,140,208,839,513,1771,508,1013,315,784,2441,32,198,348,279,1900,409,743,1542,37,753,909,833,488,3140,1528,1569,859,976,176,130,2807,642,566,1121,478,787,656,355,257,260,630,543,0
KRT2,1795,2509,1505,2936,1766,1857,1306,1786,1040,1713,1882,1453,2806,1795,1410,1287,1726,3566,1416,1702,2779,2034,1291,2913,694,1272,1494,530,558,2190,420,789,2291,1531,1075,144,919,115,1970,140,1243,318,147,940,1291,665,1545,774,673,2079,2738,1934,848,965,1190,628,967,234,983,1870,254,2152,1362,997,2573,43,1559,2385,883,263,1837,1966,2615,1989,1035,590,1121,636,400,567,1350,1130,788,429,609,899,4557,426,1001,0
CCDC82,1823,2959,1477,2876,1544,2831,2397,2185,3305,1420,3115,2401,2172,1732,1935,2392,1954,2679,1849,2706,3347,2006,1573,2918,653,2811,3716,1626,658,2061,247,623,1041,2274,1288,484,940,935,1604,1753,761,667,1069,764,796,867,1330,629,1981,2647,2518,1282,737,1347,835,1002,1326,499,1434,3490,189,1642,1108,699,3135,229,1217,1633,1741,627,1132,911,1906,1950,2940,595,1612,500,688,843,1790,1193,2784,729,1011,2140,3909,1066,1329,0
RAP1GAP,3192,4517,3284,4645,2994,4069,3363,5366,2085,4117,4138,3893,3131,4174,4411,3987,3971,4176,4016,4210,4116,3596,4882,5517,5122,14093,5666,6419,3982,5259,5020,8254,8214,8037,10657,3487,6528,4737,8645,5638,10050,3091,6643,7406,11321,5934,14480,7429,7748,14536,6719,9338,7702,10156,7146,1732,6440,3416,10750,4608,3180,8252,4973,4551,5360,7950,10663,5688,8738,7481,11737,8588,5732,8402,9200,12964,5402,8972,9802,6702,6480,7840,8484,3308,5050,9937,5796,8582,6206,1
KRTAP26-1,7002,3817,3133,2317,3219,3312,3929,8839,7442,5241,7251,5836,2331,3413,6045,9584,2689,3428,5837,2609,2445,3033,12459,2992,1832,1803,2087,1971,1418,3535,1007,1356,1995,1818,1483,547,1652,2687,1671,1785,1678,822,1612,1140,1336,1244,1475,1559,1698,1698,1511,1892,1823,2033,1178,1024,2067,1324,1729,3441,603,1670,1308,1146,2909,1134,1416,1964,1630,1131,1671,1364,1263,2723,1230,1364,1842,1262,1210,1574,1852,1464,3166,1417,889,1811,2537,1654,1493,0
ZNF765,47829,30399,17077,21628,29889,25034,51923,19517,127847,21050,39015,37143,36435,41918,41342,49512,33425,39228,28167,34211,58840,45630,31052,20813,3539,9703,13882,11068,6309,7420,2752,3012,1796,1622,3795,1983,6598,7950,2415,7383,5765,7552,12329,5292,9916,4533,4041,7346,7968,2646,2297,5568,2117,4825,6503,11707,6866,5302,4503,16716,2264,6287,8676,5075,3910,2703,1943,6210,6445,7197,2259,3757,6050,22570,4104,6574,2299,2179,10625,13286,28297,4627,3417,5279,2266,18001,6262,7408,3684,0
KLHL18,1540,1652,1299,1644,1505,1525,2544,1498,1835,1251,1696,1591,2140,1724,1954,1853,1368,1977,1654,985,1276,1661,2051,1894,703,1877,756,1295,1110,868,366,828,663,1308,755,644,692,1191,770,1311,828,707,2036,816,854,675,708,306,1034,1185,847,1136,708,899,653,436,584,1519,878,989,404,570,785,710,1571,628,569,799,805,561,693,737,974,862,440,1441,1055,773,1922,982,818,727,1577,882,629,1574,810,486,1223,0
MAGEB16,8,4,1,0,6,0,7,10,76,7,21,8,3,11,0,7,20,7,3,9,1,17,15,3,3753,22846,6,11449,8456,0,171,68,6079,26220,19272,958,3250,2306,10548,19,484,5077,2073,907,2349,4,1846,3,8880,16499,8672,1476,11135,8840,2267,7,7144,5,19,0,4,2413,5235,2648,2928,897,1377,9648,9373,1,71,4027,2757,3,141,19,0,5460,8,69,34,85,7,443,1678,2,49,14921,14222,1
BST1,23,26,27,47,31,59,43,49,683,221,42,85,49,47,23,126,72,137,51,41,153,56,125,44,370,53,131,67,508,98,57,404,899,1856,144,34,164,67,522,30,112,91,136,129,404,158,42,41,28,66,47,112,366,248,100,2459,1050,51,304,127,30,93,129,96,4655,33,77,184,459,74,169,901,220,207,94,184,651,224,690,96,116,58,2112,212,41,90,142,254,508,1
TRIM33,1001,1464,789,1546,1271,937,1455,737,1223,946,1202,1003,1859,1092,781,1007,1163,1601,1183,1037,1785,1381,570,1380,112,462,608,505,235,258,167,740,352,269,492,296,405,461,258,249,531,328,537,480,175,346,402,271,379,449,886,543,225,536,249,920,539,246,653,1130,99,786,326,306,691,106,298,494,390,510,494,368,275,1578,387,336,217,210,216,187,1641,353,3197,229,239,525,699,814,202,0
TSHZ3,3415,10186,4069,6691,3494,6788,5408,5294,9047,2261,4960,6620,3075,5209,7079,6002,5418,5817,2889,8278,5599,3370,2459,5021,3877,957,18338,1759,133,6311,87,212,119,763,191,145,318,1792,953,534,284,806,3304,614,2840,302,410,116,718,1111,58,211,273,1937,287,18279,1182,474,537,21935,77,764,807,682,930,87,107,948,639,553,521,1205,279,2232,633,270,975,210,691,201,2329,455,567,459,1892,2469,16384,2261,835,0
DLX6,2393,2002,1473,2034,1690,2473,2358,2929,2547,1888,3115,2392,1896,2384,1865,3382,1773,1825,2121,1780,1708,1931,3414,2358,3983,7671,1605,9516,9179,1265,3727,5154,6877,15701,8212,2138,5757,4879,7080,6154,4945,3561,4090,6008,7868,5334,5960,5437,5182,4756,7034,6270,7145,7860,5894,1056,5157,3064,6821,2212,1885,7948,6642,6913,9622,3397,6687,8727,6206,3898,6592,7177,6017,5189,3411,4793,7429,4524,8622,5767,5955,7208,1912,6305,3872,5171,1648,5286,6022,1
FBXO7,1811,1869,1167,1782,1094,1815,1850,1459,2097,938,1876,1811,1962,1525,1675,2140,1288,1541,1523,1928,1048,1338,2014,1913,2502,2002,1205,2118,2816,1359,1613,1666,2189,1967,2339,1165,1530,1844,1754,801,2506,1458,1701,2349,1667,1595,1599,1886,2226,2401,1060,1901,1921,2360,1481,2748,1819,2209,1736,1970,1241,1310,1941,1606,2913,2398,1318,1911,1636,2209,2164,1380,1567,1605,1468,3170,1201,2326,2361,2996,1085,1719,2692,1711,1362,1260,1234,1599,2106,1
