2330,2476,4689,4832,1921,3085,3534,4405,4107,7542,4802,8150,1777,2001,4612,8249,7450,3960,5132,1380,3363,4262,4798,11781,5254,1631,576,10347,11342,4658,2504,1261,226,3632,9646,2043,3720,6779,10086,3316,5152,13705,2883,1905,4245
719,655,651,981,466,636,719,860,741,1121,1198,1770,1299,1365,2592,1696,1195,1250,1644,619,1804,1254,1492,2729,1212,757,1314,1504,976,1309,1272,1465,1146,1486,1266,842,1129,1278,1273,1888,1199,2140,1491,1582,788
410,346,361,556,335,374,344,557,312,403,1099,1202,653,584,1310,519,1183,1127,2652,634,601,699,1110,3048,753,1535,1384,1635,1538,4798,504,1565,602,558,1317,1519,875,902,1026,1203,1714,2230,1017,474,714
83,34,41,70,76,98,74,123,170,127,290,378,204,238,456,297,274,217,1044,205,242,239,368,557,370,162,254,585,390,943,123,590,162,185,451,454,316,426,166,813,369,662,358,437,307
1280,1589,2069,2152,1157,1822,1545,2530,1688,1962,3710,3154,3127,3204,3043,4248,2500,3141,2998,3385,2657,1691,3319,2327,3235,1402,14200,2495,3062,2534,3098,3151,1031,3081,3375,1792,4034,4126,3729,4547,2019,4676,3945,5925,3416
3708,4711,3701,9232,2230,2724,11904,7688,3732,776,2379,1853,2566,1122,1289,2055,3160,2140,3248,1899,1843,1154,2150,2113,2180,447,2642,1509,2608,1225,662,546,1489,1136,1778,926,2023,5075,3206,16994,1407,2306,1266,2819,1715
567,525,329,597,318,445,520,639,381,538,1999,1309,2216,1669,1083,1333,1777,824,1916,491,1130,1612,1247,4152,1411,1093,1122,1391,1687,2727,1210,1680,953,865,1297,1629,1659,2270,1428,3201,1433,3082,613,988,1564
95,74,62,82,67,96,68,78,54,367,266,160,109,462,810,326,399,523,376,230,377,277,235,739,410,147,818,443,399,460,213,329,245,437,323,249,365,184,161,360,597,432,241,1123,535
194,163,185,339,195,201,167,206,190,621,1138,736,497,1833,1846,752,1657,836,1152,570,1162,932,999,1862,1021,498,4830,826,1586,1356,759,962,1278,1191,690,877,837,1189,618,876,1489,1406,845,2652,755
812,935,878,1243,617,858,897,992,839,2993,2851,3038,1857,2278,1824,2285,1878,2135,2109,971,1686,2002,2617,2585,2252,1226,2320,2077,1821,1943,1928,1989,2667,2319,2232,1617,2783,2803,1243,2848,1934,3402,2505,2681,1185
469,329,367,912,179,333,418,488,483,407,1065,1313,1406,916,1374,772,1998,526,1481,2069,1130,885,407,2698,881,654,2245,1440,1640,2792,479,1379,380,816,1306,1403,1431,1801,1052,1483,2044,452,686,755,613
303,198,240,223,287,364,184,347,281,771,551,407,779,4952,712,937,999,2141,1501,465,1951,898,604,847,834,330,6105,496,579,740,1239,524,380,395,502,929,654,406,680,4388,902,1684,332,1113,330
1879,230,134,196,95,348,258,325,290,10499,6119,3397,1649,16760,12175,2089,400,14204,231,14,4730,64560,41776,2319,5962,4297,54,10201,4637,376,1230,36,6,20882,1474,3290,76756,7569,34648,1753,32574,1325,6004,9204,706
618,455,574,917,418,583,564,789,567,550,5117,1393,2573,6971,3216,3035,3713,2709,2827,463,1806,1805,3424,2908,1941,1161,3019,1377,3100,2662,921,2102,956,2901,1508,2230,2899,3404,2438,3131,3105,3303,1944,1985,2120
335,220,353,791,194,609,459,756,176,85,408,87,404,849,471,145,495,153,654,58,161,193,358,410,241,169,605,218,418,335,129,541,20,247,165,178,428,331,122,171,335,387,354,255,98
596,552,558,778,348,569,564,660,480,313,2419,756,942,3613,1323,1084,1424,2204,1461,437,1010,1133,1530,1709,929,420,2611,1054,1928,1358,581,1548,1058,1210,1087,1056,1502,1686,1195,2382,1177,1428,1375,786,733
853,770,1093,954,907,829,849,1047,750,6967,2275,2985,1367,2560,1431,3157,1823,1304,1433,1508,1902,2322,1797,2018,2135,1421,2830,1256,1356,1597,3737,1155,1569,2500,1852,1694,1948,2229,2524,666,1693,1262,3677,2895,3180
3145,4103,3741,5057,3455,3612,5118,5262,4685,3071,12449,3218,4339,3465,4911,3843,5404,5903,4987,3560,3371,2221,8503,4460,2835,3384,5183,3616,4178,4291,2720,4173,4353,4638,6548,3103,4935,1543,3662,1529,7222,4266,2548,6336,2342
4261,4234,5134,4129,4587,5713,3669,5619,5794,10249,3953,3691,8780,9362,4932,9063,3801,5380,5371,1521,11729,4150,4148,7638,3684,3928,6599,4546,4971,4391,6797,2873,8014,5183,5703,3560,5240,2810,6813,7286,5492,11165,9266,12632,2920
152,59,13,26,67,85,48,27,33,845,292,2294,472,3770,1427,456,1763,1163,2210,48,895,783,2004,522,3416,11395,2852,566,1703,1527,411,333,369,1110,2557,890,548,977,1194,146,2058,372,283,1037,1528
220,10,572,8,646,379,521,596,9,5,18,71,38,325,2207,6,25,3073,18,1,1727,44,17,8,32,3,12,11,94,4,18,2,364,11,106,18,24,1630,49,2826,19,219,20,27,15
4396,4267,4488,6525,4053,4692,6676,6105,3165,7608,13908,13645,20609,18168,15935,28643,25095,12817,14299,16343,13242,13171,25331,19547,29672,7862,15593,15983,13418,11827,18855,13297,9214,18772,11423,11989,12048,21840,15390,17656,12133,30262,22815,19833,14259
443,338,342,529,384,280,367,477,319,1019,889,931,669,1361,1462,1946,1174,571,1055,897,1150,906,1107,1234,1019,585,1155,1253,1029,941,871,842,2673,965,1005,748,1175,1293,546,1258,910,1256,1332,1129,1263
29583,17105,17537,34054,23213,27425,31995,31282,35543,6996,4441,11282,7048,3030,15291,180,5674,1931,1155,7422,4624,5359,8838,15466,3954,2983,75,8652,4191,1028,695,5035,4305,2604,8608,180,13872,10804,3120,7814,1476,7110,3926,6604,569
802,825,844,1485,787,931,1205,1204,863,329,3484,2581,2882,3688,3824,2951,3058,2236,3047,745,3145,2549,3724,9911,3283,2781,3154,3160,3624,3528,873,5594,1726,3741,2316,2624,3825,2648,2214,3970,6052,6903,3987,3496,921
21,14,28,82,55,40,10,37,6,0,121,478,323,42,458,21,91,34,83,75,105,47,228,761,1642,12,119,3038,193,3336,125,52,221,418,54,841,171,134,26,201,558,8259,12,71,251
526,68,378,104,350,783,274,500,121,1215,1180,2472,1557,3137,2415,2251,2474,194,3082,423,1278,629,1762,3112,892,860,2212,3081,1853,2767,2000,1162,979,935,2116,1093,2354,1865,1404,4478,1454,3466,2414,581,3398
659,565,273,120,281,337,118,104,160,7464,1689,1762,3008,732,4430,4274,2676,2292,2196,1278,1336,2256,2087,8444,2830,1942,2204,8103,7181,4093,1746,1048,478,4493,2192,674,1000,1185,3466,1851,439,2907,4360,1085,3437
1129,886,956,1810,687,1008,1208,1821,782,594,2108,1769,1512,1221,1994,1519,2354,1149,2408,961,1161,1238,1484,2434,2252,495,3870,2375,1914,2607,858,3272,411,1246,1536,1936,1833,2576,1350,1822,2128,3209,1534,1063,1444
3471,2413,2517,3387,1931,2700,3299,3381,2873,5493,14445,5630,7022,5807,10262,5738,11207,5528,9165,2830,7409,7019,13715,11766,10580,5079,8483,6582,10860,12764,4107,6925,10061,11955,7870,9591,11211,9714,7624,5707,8045,10498,5611,5424,3150
8274,10992,7939,9045,5898,9230,9438,8783,8460,285,541,2328,3315,5684,2811,169,2560,23224,2480,5962,4404,590,643,775,5775,118,9244,606,1872,467,306,154,1688,3632,7272,1661,815,2842,3419,889,2137,3354,2165,12498,8946
330,258,369,480,214,352,445,412,353,387,507,695,456,578,739,442,1021,487,770,245,449,510,500,378,702,259,899,725,559,439,644,456,945,795,603,414,734,696,653,1190,567,583,580,625,495
1949,1455,1242,1497,1072,1446,1125,1403,1109,1507,3280,2306,1724,4593,2947,1735,1994,2555,3654,907,3234,2704,2464,7133,3279,1550,6363,3427,3303,6020,1913,2352,8913,2305,3079,2130,2073,2611,4702,3775,2624,4289,1719,2687,2102
2344,2429,2770,2921,2172,2442,2458,2282,2013,12148,4993,8668,6457,5859,5666,12517,5978,10029,5695,2693,5270,7877,6196,8816,4401,2721,9585,8250,5640,6439,6258,4453,5925,7597,7170,4825,7144,6747,7555,8282,5845,5816,12327,5596,12348
5614,5745,7601,8217,4955,5714,5991,8326,6341,6654,9376,8621,6921,4640,7760,6962,9012,5961,6613,6626,2770,6178,8333,9436,7210,2787,8762,8500,6803,7843,9390,6818,2995,9955,7942,5909,12115,6261,8057,6506,6299,12438,12346,5995,9637
3369,3066,3943,5613,2154,2965,3298,4672,3115,7313,5827,3202,6640,4160,4808,11502,8092,5827,2736,3735,3407,3350,6512,3723,2956,2278,4607,5613,2476,5810,8361,2827,3635,4732,4968,2310,3873,5546,3558,3531,2680,4460,5490,4941,4395
967,971,742,1083,650,919,727,968,641,1969,2028,2199,1552,3480,2154,1635,1588,3226,2533,728,2996,1949,1434,2570,1611,943,3089,2106,1930,1631,2069,1372,2514,1963,2193,1641,1606,1502,1564,3957,1949,3424,1795,5185,1656
2102,1224,1311,1270,946,1207,1379,1185,984,2323,3229,4245,1766,4102,2722,1583,2160,2276,3670,1058,3455,2094,2489,6493,3493,1733,5301,4564,2757,5178,2408,1869,12563,2516,3357,2676,1780,2227,3216,9277,2467,3176,2880,3219,1976
81,32,31,19,71,74,26,41,48,229,213,105,130,415,879,142,340,137,333,32,412,193,216,593,195,107,138,397,162,189,86,121,876,146,228,226,316,201,79,1279,155,161,95,548,78
229,128,164,395,191,186,272,270,234,51,1559,339,852,1267,1779,611,551,611,874,239,955,613,1588,2164,1061,336,1268,583,1319,622,137,1807,428,1162,462,948,2645,1353,457,1120,1408,1042,649,1664,174
366,292,323,444,218,320,259,359,304,324,1393,712,1134,3365,1076,838,1139,759,1565,487,723,1138,931,1196,628,417,1437,661,1221,1015,626,983,755,747,748,824,1061,1118,828,1288,1226,1275,1221,875,633
439,251,307,278,739,1031,269,176,150,994,411,53,690,575,912,49,453,73,1077,1095,1820,305,377,439,218,74,352,162,729,290,259,120,509,283,774,211,116,229,1024,152,635,498,277,143,194
205,122,78,66,113,188,85,79,56,251,403,328,546,463,456,494,983,674,1131,654,290,460,552,1092,733,347,1190,2523,635,818,348,638,1081,1428,605,474,407,350,585,352,507,417,747,490,677
1146,1557,1815,2179,1038,1450,1384,1802,1713,3598,2315,2445,2048,1859,2515,1910,2156,3616,1782,2111,1896,2480,1473,2846,1734,1195,2661,1719,1187,2043,2939,1998,1280,3076,2320,2149,2709,1414,2313,2188,1587,1520,2164,2674,2574
